 (1.00000000000000000000+0.00000000000000000000j), (0.00000000000000000000+0.00000000000000000000j)
 (0.00000000000000000000+0.00000000000000000000j), (1.00000000000000000000+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (0.70710678118654757274+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.35355339059327378637+0.61237243569579458136j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.35355339059327378637-0.61237243569579458136j)
 (0.87379811074833813045+0.00000000000000000000j), (0.32422978173280309067-0.36242504092589117315j)
 (0.87379811074833813045+0.00000000000000000000j), (0.15175440154303501683+0.46200374810703676021j)
 (0.87379811074833813045+0.00000000000000000000j), (-0.47598418327583813525-0.09957870718114564257j)
 (0.48628886646995633791+0.00000000000000000000j), (0.58259892475653218824+0.65123085862073337715j)
 (0.48628886646995633791+0.00000000000000000000j), (-0.85528192967217342435+0.17893003974628884922j)
 (0.48628886646995633791+0.00000000000000000000j), (0.27268300491564123611-0.83016089836702222637j)
