 (0.72386962026624857014+0.00000000000000000000j), (0.62090154774592909437+0.30082227454480003903j)
 (0.68993678902896404814+0.00000000000000000000j), (0.65143905171681371069-0.31561747265115330796j)
 (0.53126631208615737734+0.00000000000000000000j), (0.84600088009473173312+0.04515104119854804199j)
 (0.84720487819793244277+0.00000000000000000000j), (0.53051130742493923798-0.02831337231606288751j)
 (0.68993678902896404814+0.00000000000000000000j), (-0.65143905171681371069+0.31561747265115330796j)
 (0.72386962026624857014+0.00000000000000000000j), (-0.62090154774592909437-0.30082227454480003903j)
 (0.84720487819793244277+0.00000000000000000000j), (-0.53051130742493923798+0.02831337231606288751j)
 (0.53126631208615737734+0.00000000000000000000j), (-0.84600088009473173312-0.04515104119854804199j)
 (0.84720487819793244277+0.00000000000000000000j), (0.02831337231606288751+0.53051130742493923798j)
 (0.53126631208615737734+0.00000000000000000000j), (-0.04515104119854804199+0.84600088009473173312j)
 (0.72386962026624857014+0.00000000000000000000j), (-0.30082227454480003903+0.62090154774592909437j)
 (0.68993678902896404814+0.00000000000000000000j), (0.31561747265115330796+0.65143905171681371069j)
 (0.84720487819793244277+0.00000000000000000000j), (-0.02831337231606288751-0.53051130742493923798j)
 (0.53126631208615737734+0.00000000000000000000j), (0.04515104119854804199-0.84600088009473173312j)
 (0.72386962026624857014+0.00000000000000000000j), (0.30082227454480003903-0.62090154774592909437j)
 (0.68993678902896404814+0.00000000000000000000j), (-0.31561747265115330796-0.65143905171681371069j)
 (0.97439815660210049586+0.00000000000000000000j), (0.22347754269335626254+0.02461748001253460591j)
 (0.97439815660210049586+0.00000000000000000000j), (-0.22347754269335626254-0.02461748001253460591j)
 (0.97439815660210049586+0.00000000000000000000j), (0.02461748001253460591-0.22347754269335626254j)
 (0.97439815660210049586+0.00000000000000000000j), (-0.02461748001253460591+0.22347754269335626254j)
 (0.22482934063513237977+0.00000000000000000000j), (0.96853953770990353078-0.10669082192137369081j)
 (0.22482934063513237977+0.00000000000000000000j), (-0.96853953770990353078+0.10669082192137369081j)
 (0.22482934063513237977+0.00000000000000000000j), (0.10669082192137369081+0.96853953770990353078j)
 (0.22482934063513237977+0.00000000000000000000j), (-0.10669082192137369081-0.96853953770990353078j)
 (0.88807383397711525674+0.00000000000000000000j), (0.32505758367186815549+0.32505758367186815549j)
 (0.45970084338098310406+0.00000000000000000000j), (0.62796303019955423963+0.62796303019955423963j)
 (0.88807383397711525674+0.00000000000000000000j), (0.32505758367186815549-0.32505758367186815549j)
 (0.45970084338098310406+0.00000000000000000000j), (0.62796303019955423963-0.62796303019955423963j)
 (0.88807383397711525674+0.00000000000000000000j), (-0.32505758367186815549+0.32505758367186815549j)
 (0.45970084338098310406+0.00000000000000000000j), (-0.62796303019955423963+0.62796303019955423963j)
 (0.88807383397711525674+0.00000000000000000000j), (-0.32505758367186815549-0.32505758367186815549j)
 (0.45970084338098310406+0.00000000000000000000j), (-0.62796303019955423963-0.62796303019955423963j)
