 (0.79581260404592257807+0.00000000000000000000j), (0.54425301490816391237+0.26546366042270547192j)
 (0.60554297885587582417+0.00000000000000000000j), (0.71526452155759723261-0.34887585895176764783j)
 (0.53734595291994546873+0.00000000000000000000j), (0.80604200459743224894+0.24810403806691408435j)
 (0.84336191927342551988+0.00000000000000000000j), (0.51356766194406255899-0.15807887184805363701j)
 (0.60554297885587582417+0.00000000000000000000j), (-0.71526452155759723261+0.34887585895176764783j)
 (0.79581260404592257807+0.00000000000000000000j), (-0.54425301490816391237-0.26546366042270547192j)
 (0.84336191927342551988+0.00000000000000000000j), (-0.51356766194406255899+0.15807887184805363701j)
 (0.53734595291994546873+0.00000000000000000000j), (-0.80604200459743224894-0.24810403806691408435j)
 (0.84336191927342551988+0.00000000000000000000j), (0.15807887184805363701+0.51356766194406255899j)
 (0.53734595291994546873+0.00000000000000000000j), (-0.24810403806691408435+0.80604200459743224894j)
 (0.79581260404592257807+0.00000000000000000000j), (-0.26546366042270547192+0.54425301490816391237j)
 (0.60554297885587582417+0.00000000000000000000j), (0.34887585895176764783+0.71526452155759723261j)
 (0.84336191927342551988+0.00000000000000000000j), (-0.15807887184805363701-0.51356766194406255899j)
 (0.53734595291994546873+0.00000000000000000000j), (0.24810403806691408435-0.80604200459743224894j)
 (0.79581260404592257807+0.00000000000000000000j), (0.26546366042270547192-0.54425301490816391237j)
 (0.60554297885587582417+0.00000000000000000000j), (-0.34887585895176764783-0.71526452155759723261j)
 (0.96598313083299247594+0.00000000000000000000j), (0.21869877447899255252+0.13801245229136563375j)
 (0.96598313083299247594+0.00000000000000000000j), (-0.21869877447899255252-0.13801245229136563375j)
 (0.96598313083299247594+0.00000000000000000000j), (0.13801245229136563375-0.21869877447899255252j)
 (0.96598313083299247594+0.00000000000000000000j), (-0.13801245229136563375+0.21869877447899255252j)
 (0.25860508685269462115+0.00000000000000000000j), (0.81691868265875333677-0.51552621172642343339j)
 (0.25860508685269462115+0.00000000000000000000j), (-0.81691868265875333677+0.51552621172642343339j)
 (0.25860508685269462115+0.00000000000000000000j), (0.51552621172642343339+0.81691868265875333677j)
 (0.25860508685269462115+0.00000000000000000000j), (-0.51552621172642343339-0.81691868265875333677j)
