 (0.85419424645013508623+0.00000000000000000000j), (0.41213385691123433086+0.31701399546227621018j)
 (0.51995402617105057619+0.00000000000000000000j), (0.24163865431199985090+0.81930371133713297827j)
 (0.85419424645013530828+0.00000000000000000000j), (-0.17414186039830056862+0.48992530225382752151j)
 (0.51995402617105102028+0.00000000000000000000j), (-0.70453368281168260445+0.48299078712986054374j)
 (0.85419424645013530828+0.00000000000000000000j), (-0.51975944550151986778-0.01422350672084484596j)
 (0.51995402617105102028+0.00000000000000000000j), (-0.67706441650875304195-0.52079898863782014828j)
 (0.85419424645013530828+0.00000000000000000000j), (-0.14708714289544674858-0.49871591284652228016j)
 (0.51995402617105057619+0.00000000000000000000j), (0.28608486083616851969-0.80486226341459532474j)
 (0.85419424645013508623+0.00000000000000000000j), (0.42885459188402169639-0.29399987814874239955j)
 (0.51995402617105057619+0.00000000000000000000j), (0.85387458417228456753+0.02336675358542873032j)
 (0.76203512925178618076+0.00000000000000000000j), (0.40179173780048971221+0.50780494406954723718j)
 (0.64753568379372961061+0.00000000000000000000j), (0.03127536031441886799+0.76139305884082641995j)
 (0.76203512925178584769+0.00000000000000000000j), (-0.35879072588444343994+0.53904700797382076871j)
 (0.64753568379373005470+0.00000000000000000000j), (-0.71446321223011211021+0.26502802980744583072j)
 (0.76203512925178584769+0.00000000000000000000j), (-0.62353660124532428455-0.17465557160778893975j)
 (0.64753568379373005470+0.00000000000000000000j), (-0.47283790918405704806-0.59759672844840427963j)
 (0.76203512925178618076+0.00000000000000000000j), (-0.02657608691475692522-0.64699008755197529030j)
 (0.64753568379373038777+0.00000000000000000000j), (0.42223331318492685060-0.63436311955430202403j)
 (0.76203512925178618076+0.00000000000000000000j), (0.60711167624403328258-0.22520629288360033415j)
 (0.64753568379373005470+0.00000000000000000000j), (0.73379244791482300947+0.20553875935443113865j)
 (0.39072170307140158263+0.00000000000000000000j), (0.26977222811636558664-0.88009061788324738362j)
 (0.92050885424800965584+0.00000000000000000000j), (0.31221551631069915933-0.23491470925818969118j)
 (0.39072170307140158263+0.00000000000000000000j), (0.92038012016644221713-0.01539432205032982733j)
 (0.92050885424800965584+0.00000000000000000000j), (0.31989706546114049512+0.22434196388631205688j)
 (0.39072170307140158263+0.00000000000000000000j), (0.29905396871618639132+0.87057640362238208898j)
 (0.92050885424800965584+0.00000000000000000000j), (-0.11450825695435716545+0.37356566804283786176j)
 (0.39072170307140158263+0.00000000000000000000j), (-0.73555460302929154270+0.55344012929259533973j)
 (0.92050885424800965584+0.00000000000000000000j), (-0.39066706025144248837+0.00653431599422119817j)
 (0.39072170307140158263+0.00000000000000000000j), (-0.75365171396973207329-0.52853159298141172417j)
 (0.92050885424800965584+0.00000000000000000000j), (-0.12693726456602807962-0.36952723866517706020j)
 (0.72708508024348017518+0.00000000000000000000j), (-0.28805141164600117643-0.62319633369916294097j)
 (0.68654736623726986267+0.00000000000000000000j), (0.14113598633045540409-0.71325545723478156468j)
 (0.72708508024348017518+0.00000000000000000000j), (0.50368215264353022320-0.46653143001914831878j)
 (0.68654736623726986267+0.00000000000000000000j), (0.72195966868019956220-0.08617975813289645293j)
 (0.72708508024348017518+0.00000000000000000000j), (0.59934410150641470594+0.33486405312723616090j)
 (0.68654736623726986267+0.00000000000000000000j), (0.30505962742051945247+0.65999343756640660441j)
 (0.72708508024348050824+0.00000000000000000000j), (-0.13326712695579662205+0.67348879646233095198j)
 (0.68654736623726986267+0.00000000000000000000j), (-0.53342245033893975759+0.49407813490081636809j)
 (0.72708508024348017518+0.00000000000000000000j), (-0.68170771554814568738+0.08137491412874588159j)
