 (0.75937187797185379257+0.00000000000000000000j), (0.48237505136985997511-0.43665622721057661959j)
 (0.56708813698886351151+0.00000000000000000000j), (0.00000000000000000000+0.82365711609070868526j)
 (0.82365711609048819497+0.00000000000000000000j), (0.00000000000000000000+0.56708813698901527900j)
 (0.45970084338077954467+0.00000000000000000000j), (0.62796303020023935826+0.62796303020023935826j)
 (0.45970084338077954467+0.00000000000000000000j), (-0.62796303020023935826+0.62796303020023935826j)
 (0.88807383397722061691+0.00000000000000000000j), (-0.32505758367204029557+0.32505758367204029557j)
 (0.88807383397722061691+0.00000000000000000000j), (0.32505758367204029557+0.32505758367204029557j)
 (0.70710678118654757274+0.00000000000000000000j), (0.66055960981977102087+0.25231131935564332647j)
 (0.18142166496452402646+0.00000000000000000000j), (0.98340539935727788734+0.00000000000000000000j)
 (0.18142166496452402646+0.00000000000000000000j), (-0.98340539935727788734+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.66055960981977102087+0.25231131935564332647j)
 (0.98340539935547433004+0.00000000000000000000j), (-0.18142166496485676030+0.00000000000000000000j)
 (0.98340539935547433004+0.00000000000000000000j), (0.18142166496485676030+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (0.66055960981977102087-0.25231131935564332647j)
 (0.45970084338077954467+0.00000000000000000000j), (0.62796303020023935826-0.62796303020023935826j)
 (0.45970084338077954467+0.00000000000000000000j), (-0.62796303020023935826-0.62796303020023935826j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.66055960981977102087-0.25231131935564332647j)
 (0.88807383397722061691+0.00000000000000000000j), (-0.32505758367204029557-0.32505758367204029557j)
 (0.88807383397722061691+0.00000000000000000000j), (0.32505758367204029557-0.32505758367204029557j)
 (0.56708813698886351151+0.00000000000000000000j), (0.00000000000000000000-0.82365711609070868526j)
 (0.82365711609048819497+0.00000000000000000000j), (0.00000000000000000000-0.56708813698901527900j)
 (0.58801601943399472994+0.00000000000000000000j), (-0.38027641644395754339-0.71388164844396717612j)
 (0.65065686113765064391+0.00000000000000000000j), (-0.56297269809010197505-0.50961494312875810220j)
 (0.96873732454572014650+0.00000000000000000000j), (-0.14729836494109965761-0.19962762263153921438j)
 (0.99288550204618253314+0.00000000000000000000j), (0.01881199661442051890-0.11757758549038618834j)
 (0.62700275543014960533+0.00000000000000000000j), (0.55442163041853897987-0.54725149648680571079j)
 (0.80884928193638150340+0.00000000000000000000j), (0.27645277022028375002-0.51897659383471705929j)
 (0.24808868582021229021+0.00000000000000000000j), (0.57517102600321190486-0.77950644308562155871j)
 (0.11907300208905459427+0.00000000000000000000j), (-0.15686308714237864881-0.98041603008958733145j)
 (0.77901703747928385813+0.00000000000000000000j), (-0.44623400159171000556-0.44046301903843104730j)
 (0.69377362395597019784+0.00000000000000000000j), (-0.16826970061693910519-0.70025957084285506138j)
 (0.78532864458072582092+0.00000000000000000000j), (-0.61862205527072322564+0.02378387549198840087j)
 (0.85065188219506104872+0.00000000000000000000j), (-0.49347312814002874948+0.18131642816212828473j)
 (0.95904840611149544394+0.00000000000000000000j), (0.16082312415737332056-0.23315676587027672761j)
 (0.91822012405005581925+0.00000000000000000000j), (-0.11638553968043312270-0.37858448190964461011j)
 (0.92066491729754751372+0.00000000000000000000j), (0.37269606972501290176+0.11607648198075275203j)
 (0.83269846226200028294+0.00000000000000000000j), (0.52654354948243609069+0.17136266059069882317j)
 (0.59775126602709927059+0.00000000000000000000j), (0.32352374648878240437-0.73350242632212614424j)
 (0.72019313986110700121+0.00000000000000000000j), (0.16209690642362148405-0.67457129662078307852j)
 (0.61907909026311003231+0.00000000000000000000j), (0.78474887589407138488+0.03017087638198494987j)
 (0.52572937460065893855+0.00000000000000000000j), (0.79845994069450243469+0.29337748343652603200j)
 (0.28324221919586778373+0.00000000000000000000j), (-0.54454156349601912090-0.78946078489580695514j)
 (0.39607045306296201348+0.00000000000000000000j), (0.26981953300619376801-0.87768195596059617181j)
 (0.39035382674888691179+0.00000000000000000000j), (-0.87901839996878794459+0.27377096715833526552j)
 (0.55372671142586216142+0.00000000000000000000j), (-0.79182021549759340484+0.25769647918114751972j)
 (0.80168162256783703778+0.00000000000000000000j), (-0.24122634673110007753-0.54691537341670670713j)
 (0.36564730459077643410+0.00000000000000000000j), (-0.90684234540194752494-0.20961633818217240144j)
 (0.93075348435850613349+0.00000000000000000000j), (-0.35625379314430893896+0.08234795823227641920j)
 (0.83269846226200028294+0.00000000000000000000j), (-0.52654354948243609069-0.17136266059069882317j)
 (0.91191252830795122009+0.00000000000000000000j), (-0.08404934319382099950+0.40168550960164067787j)
 (0.91822012405005581925+0.00000000000000000000j), (0.11638553968043312270+0.37858448190964461011j)
 (0.91191252830795122009+0.00000000000000000000j), (0.08404934319382099950-0.40168550960164067787j)
 (0.95904840611149544394+0.00000000000000000000j), (-0.16082312415737332056+0.23315676587027672761j)
 (0.78532864458072582092+0.00000000000000000000j), (0.61862205527072322564-0.02378387549198840087j)
 (0.93075348435850613349+0.00000000000000000000j), (0.35625379314430893896-0.08234795823227641920j)
 (0.36564730459077643410+0.00000000000000000000j), (0.90684234540194752494+0.20961633818217240144j)
 (0.55372671142586216142+0.00000000000000000000j), (0.79182021549759340484-0.25769647918114751972j)
 (0.41038462533944908284+0.00000000000000000000j), (0.18676540085073278785+0.89258228994937072187j)
 (0.39607045306296201348+0.00000000000000000000j), (-0.26981953300619376801+0.87768195596059617181j)
 (0.41038462533944908284+0.00000000000000000000j), (-0.18676540085073278785-0.89258228994937072187j)
