 (0.48696452020706804120+0.00000000000000000000j), (0.87342175153775525320+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (0.37174803446009008212-0.60150095500751754596j)
 (0.96193835778390701652+0.00000000000000000000j), (0.00000000000000000000-0.27326652891260522216j)
 (0.87342175153788104147+0.00000000000000000000j), (0.48696452020699793062+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.37174803446009008212-0.60150095500751754596j)
 (0.27326652891270819534+0.00000000000000000000j), (0.00000000000000000000+0.96193835778354441768j)
 (0.48696452020706804120+0.00000000000000000000j), (-0.87342175153775525320+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.37174803446009008212+0.60150095500751754596j)
 (0.96193835778390701652+0.00000000000000000000j), (0.00000000000000000000+0.27326652891260522216j)
 (0.87342175153788104147+0.00000000000000000000j), (-0.48696452020699793062+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (0.37174803446009008212+0.60150095500751754596j)
 (0.27326652891270819534+0.00000000000000000000j), (0.00000000000000000000-0.96193835778354441768j)
