 (0.92387959172177847034+0.00000000000000000000j), (-0.33141331699878739947+0.19134149253210838704j)
 (0.92387959172177847034+0.00000000000000000000j), (0.33141331699878739947+0.19134149253210838704j)
 (0.92387959172177847034+0.00000000000000000000j), (0.00000000000000000000-0.38268352626028223629j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.61237215017707991027+0.35355339059327378637j)
 (0.70710678118654757274+0.00000000000000000000j), (0.61237215017707991027+0.35355339059327378637j)
 (0.70710678118654757274+0.00000000000000000000j), (0.00000000000000000000-0.70710678118654757274j)
 (0.38268328941828644307+0.00000000000000000000j), (-0.80010287479610298078+0.46193942847286711961j)
 (0.38268328941828644307+0.00000000000000000000j), (0.80010287479610298078+0.46193942847286711961j)
 (0.38268328941828644307+0.00000000000000000000j), (0.00000000000000000000-0.92388016350918722441j)
